RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
69487,435,27703,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,1026.9785855448822,1031.845057396369,1040.727407985437,1031.6680805161677,1048.6868819245788,1056.8104067578747,1062.3170987065284,1057.2609318121506,1055.7537990334495,1062.045326145063,1059.7691419652415,1047.1826518634355,1045.794487022633,1067.9470033977443,1091.382439036403,1104.8225413787097,1096.2148646378314,1101.9439157053732,1098.6962566648047,1109.7442469077268,1109.1947488056846,1121.708830507105,1121.2635064981578,1119.8803901778629,1120.0371833767008,1124.1909223322828,1147.6423581752072,1150.8677683608612,1159.3521435293148,1157.9353313101544,1165.9571491026313,1165.9495455968938,1159.4686269889141,1152.2046112818143,1136.9780392305488,1137.5811076639225,1151.3263873429141,1161.5634096300969,1177.7030640065127,1182.0391323803674,1193.9967689961813,1200.6684862922243,1201.8180279759265,1202.9330558610318,1194.7975085425476,1194.361743101575,1196.8256716556818,1206.8829437502375,1211.9749268849018,1214.606304032823,1209.5093962878655,1227.222180054688,1255.4479177035105,1276.8216846050673,1272.7171203040718,1261.0013954917122,1246.7158939736694,1236.337265345322,1237.6374847328505,1238.5231268625942,1267.833063800649,1272.476679941103,1300.729925667503,1291.0238510247493,1298.0708227349455,1299.5825767696676,1301.0562024744465,1317.1542629049895,1321.9640605523025,1334.6294183577986,1329.438008179141,1323.9007727862472,1320.4854752670083,1327.2630927686228,1351.4177231475971,1381.5950845732243,1414.8638075109109,1445.4891919625659,1474.8429841004468,1509.8582715143546,1535.6804117009406,1555.6136858344103,1541.9712142754302,1529.6176935748053,1520.8810645370559,1548.1689153358366,1570.7420349843178,1599.5528127434625,1621.576980706006,1655.7520454398946,1676.7337733576749,1683.841884300288,1667.3008356168316,1660.1274210076276,1647.1195967612773,1651.7176729204095,1654.6149183102098,1660.7519926006619,1673.8323423966422,1684.8842354856474,1700.8077485455424,1702.8706760815517,1688.4059058615244,1679.4376700764658,1668.177217587391,1675.0029946849793,1665.281768146745,1666.5461411216545,1666.8190462169446,1680.1107821856745,1684.6997615782627,1686.8768371893539,1694.93181865262,1706.0207347824091,1714.2067228234475,1723.5770737496068,1724.0311302647308,1711.8952622048598,1698.3981965442852,1683.6728542370754,1695.2734102152729,1701.9931472060189,1728.6709674897525,1735.544443753735,1742.936463950604,1733.2144047904821,1734.5751048634177,1734.6712983368786,1740.0614481562357,1740.4823444382541,1744.9599310787326,1724.9268761351689,1716.7144201228878
69443,590,27603,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,,,,,,,,,,,,,1108.958495939807,1075.6963884279608,1078.3337376166828,1094.3507054984411,1127.0425875510357,1145.7802954994877,1135.6729065505085,1139.2025582526849,1137.4014263023757,1136.3610456757863,1115.4685362955852,,1124.0626195098769,1134.6341386966885,1126.610160679795,1127.0377408661914,1136.5570185560584,1154.3736115919744,1170.1764674639412,1148.4612748492411,1143.3485759819034,1137.0595149137143,1173.6116416704892,1174.4456186437942,1154.0090294368474,1168.904310065513,1186.457692279393,1233.0054650943669,1224.8532618540053,1227.0832677735452,1219.9602995885984,1230.6688152549646,1230.898306578632,1223.9378774216125,1208.5828619757813,1200.5620693094372,1221.8392553356973,1243.6550924191683,1265.09729635503,1267.2627758257158,1264.6342612711042,1274.6807135574195,1275.375132700706,1287.7441881513,1294.344801987249,1302.5867780495942,1289.4279561922226,1280.3983243042849,1290.0868729239662,1317.9908498210957,1320.409348911876,1319.9322728478157,1303.2037628600228,1313.4867880019312,1316.0038668226564,1326.1104013748463,1318.780618508375,1320.4595179768862,1328.0795295309551,1329.7009650348425,1329.688205296854,1318.4110953292134,1333.918502249607,1350.0730039512046,1389.3356859592266,1425.3032029232402,1475.3344188395179,1516.1325795878363,1548.9882051989864,1562.7058037736913,1573.651234457293,1575.8596636619395,1574.9924249346686,1586.7984875954235,1609.0030572339188,1636.2310364623963,1636.9419311272075,1651.8441416543603,1664.8348983586293,1683.9347537508093,1675.9420997208977,1655.7256582654757,1646.8520889419462,1653.7751281747865,1668.0840396418564,1679.4204733146107,1674.289574506173,1671.1699036367218,1663.6049879529605,1672.0399160552201,1686.8456909284016,1693.8531993355953,1686.226132255085,1674.7432389767473,1663.9175157366099,1653.765459139154,1645.0372666877395,1656.7855676670213,1672.019034750087,1687.2932335424234,1680.726128327089,1686.8827840194679,1681.4491041634797,1682.8309219160915,1679.5945235030704,1692.3941672587207,1693.7298888932255,1704.2652265433244,1701.6486281560246,1712.7894837911772,1718.0633998779315,1738.21667293063,1763.1075547984358,1776.9686095019945,1779.7395015398008,1762.3485633679356,1739.788151696207,1720.0493834201402,1713.1942084270813,1721.6907846615643,1727.1393666393667
69489,1087,27705,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,,,,,,,,,,,,,,,,,,,,,,,,,1161.1848740146156,1147.1248705471585,1145.1908441200678,1157.2716197431334,1159.4016456010002,1164.2781836116894,1156.7001916489958,1161.528898779329,1163.9676787157166,1161.0531492808934,1154.1921367551474,1160.0479715732283,1163.2239487462002,1177.2646588515483,1190.307658941603,1220.3399114723745,1235.9356387179316,1227.207193837582,1229.9496463936816,1220.5098239121785,1216.2600345014318,1202.5980532406734,1218.7544558470543,1205.8494207874846,1218.493685949237,1242.4733501931225,1280.5343057095295,1293.715814358741,1291.7089320248244,1300.1251214271063,1296.6376442493972,1279.6112756211608,1277.875341322032,1284.0887579967496,1285.8875487188013,1283.9633566208756,1278.2205802291717,1289.9412915783655,1311.9942831682845,1324.5042218657736,1329.4903105021847,1316.6174950204015,1327.6965607753596,1314.6525725756892,1313.3259639748017,1314.1783380287334,1352.7796232911533,1344.970812146026,1339.6291919243567,1298.8820755472823,1308.8449773722698,1313.8127812612195,1358.0005980613573,1411.8781943027816,1443.1670112550648,1459.2875487089739,1464.928277001272,1495.7305019074304,1497.059800454147,1487.8065515093929,1488.8940368968683,1525.4386177874953,1540.5007292638757,1541.6496447088582,1555.1761308143286,1596.0086925534704,1631.2823929548101,1640.044486794094,1641.1495817374368,1637.3333887723024,1661.82967522677,1660.4818465291482,1661.0907413026343,1672.2467891260037,1675.826815973651,1679.443141472143,1662.8649268614076,1669.2099194626007,1663.712579890607,1651.190733273575,1628.3452406490476,1691.6560159350731,1708.956961558311,1744.3048351040097,1709.6257027487932,1732.7568262994253,1731.283152262103,1742.047355343311,1726.0780532407894,1735.1004963381756,1724.7082352790596,1706.5370795078397,1702.9495008096678,1708.9087400959509,1736.313109912405,1743.9806697121835,1741.096002550961,1745.4971056362763,1703.0216577059582,1714.956660822421,1725.2477569670696,1788.1156431117543,1792.0010122831227,1783.2644161947685,1749.6386743327323,1744.746610440104,1719.4556928271275,1749.3837212847504,1749.6944444444446
69452,2234,27612,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,958.6859064711679,959.7109567642063,974.9782345415607,971.2842003233852,977.6665544004476,973.9440732289925,986.4795238519265,979.4280597118578,976.9393222549417,969.8851718745777,,988.4476209659721,986.2200164339044,1001.3044002773287,1005.783455502094,1022.1783511216744,1006.3861359474005,1005.59198511266,1008.0232587173716,1016.8655683303559,1015.0597632521168,1011.8413224608162,1010.9853803059037,1018.7415576672835,1029.5307517915676,1041.099182124202,1039.1168996176011,1042.6948988671754,1052.0407061873448,1067.346976104964,1065.573128104994,1054.6764973078396,1041.929788023924,1034.8575196864952,1035.145715011548,1049.9339878795913,1069.490664157845,1099.7991310727186,1095.960449645625,1080.0029263020397,1105.9959096515493,1124.9956342947135,1144.6980468795225,1104.9491139947652,1107.1174511451975,1108.1492098452788,1115.1979841841026,1126.857402402672,1143.3898293711413,1144.34010329179,1133.964732572818,1139.4345140780902,1140.931515071643,1152.4164711906956,1149.5258944995364,1175.7908105362053,1174.3169317677414,1181.7339853913795,1179.4351107573927,1180.3040864442057,1182.1818612446896,1175.1909620777908,1181.4823907171412,1169.8052481433106,1162.603789495792,1159.4568999447736,1168.34692437709,1176.334778418463,1178.3102572435907,1168.8749507446944,1171.954162678287,1166.2497896386699,1183.847987362402,1192.73844466666,1222.924618316686,1242.0550238511692,1269.6995101671514,1304.314898845316,1340.5707928942757,1380.6011704713087,1409.342279984507,1429.920157184643,1428.097597527022,1419.7111109696639,1421.0340727381363,1431.7160421925212,1443.7373955416147,1466.0987039797562,1487.8410884145317,1525.9703617704681,1548.3672225141386,1566.9643834565156,1557.1303786777069,1536.3515055478128,1498.3379840294017,1489.3792967053,1489.0704402402034,1506.5751312404539,1519.350319645096,1524.662408684577,1537.5218239942035,1536.271358627308,1544.8246168961846,1528.0599682353861,1514.3597593865275,1500.7907753805903,1489.7420081432897,1488.5130754540014,1472.1925487443589,1475.4596706939249,1476.1814351333921,1486.9968953729283,1514.3601842217804,1521.0842075514026,1523.235900388602,1505.01283287595,1490.352963371324,1479.0512029116544,1465.621159322024,1465.52161877199,1466.046523078274,1472.5002576562927,1476.602254294242,1480.5883410800784,1478.1513636903828,1488.6332772156627,1491.4759034291692,1497.4362527687242,1476.75859748384,1460.452665379209,1440.0453221985965,1433.2823181844233,1444.2532859927596
69449,2677,27609,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.1601756546663,1066.020139852584,1064.6321046588234,1085.6947015280252,1083.4419292209157,1094.6911583948563,1109.6338917939386,1123.3321084194724,1146.8799818528369,1126.8296922268835,1107.7993969203826,1093.8286900626565,1101.4760160822498,1134.1181864081316,1132.1279342430603,1136.102987058118,1134.1875150259673,1145.6549100756815,1158.5809592439225,1171.0115582522685,1180.103003581059,1173.2934011786153,1161.2670959666189,1148.2840309956591,1154.0356109770896,1146.5196666387142,1171.2424056205211,1200.0355997801246,1229.6035770608783,1241.9363870866243,1245.384063415656,1241.2188417455154,1232.454895789382,1226.0589343803379,1236.4550090847897,1225.2439046878228,1197.6571370195124,1193.8587956478098,1225.124248703167,1251.9798002537707,1272.7185339974983,1283.7283415085062,1330.4386638450985,1367.5733001466147,1388.0141746965976,1409.4070622570289,1418.6443989910865,1439.7694367335155,1451.8267008135342,1461.9029399499873,1488.2659283416078,1491.3382003471643,1509.4644570337086,1523.7118696506966,1563.084914688749,1596.0876472420505,1596.891428295229,1594.7598512299323,1572.362748261115,1566.9689131444309,1546.5146575110982,1561.940771740191,1566.358013125842,1573.256879905729,1559.3311651267556,1569.510805085529,1579.775466652738,1600.8874648134106,1614.5204543912896,1626.5948729933955,1614.5628445969908,1582.3204535821678,1578.312120785156,1559.1171521723343,1559.6980319876916,1534.4924539472372,1535.265882355617,1550.4400562162334,1552.5953162542216,1560.8152046144137,1555.4718792243634,1552.7800376094829,1536.2372014165662,1529.655355942697,1536.5846206901633,1564.0010305580447,1572.3265471392735,1590.280924380041,1594.6972016849572,1597.4870948232433,1583.4835225480692,1561.3638382121621,1563.962848255405,1549.1299627946175,1548.3885166699338,1524.518506368155,1521.8696497585584,1533.55439005439
69447,4447,27607,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.2738540510497,1016.1004387271036,1031.8898224666666,1034.562099879159,1037.44828344169,1016.9702610464468,1018.8598723047452,1052.1698699828946,1075.944698780705,1084.1741828293584,1066.3322926086826,1075.1949546388153,1076.313948006761,1065.6537479972362,1047.8177602955445,1037.974986324458,1038.2033387028591,1048.564174848227,1053.2367993207924,1068.9839808834229,1053.219736768549,1065.159915120762,1074.391942866883,1115.113687151514,1114.3091734300363,1106.5016018226806,1082.1471431820412,1086.2478876354953,1123.70204452756,1139.4378097452716,1159.068419644049,1155.8462149327943,1168.0300882994616,1162.0426859719687,1135.6546645193023,1153.9431059666824,1146.3044291181045,1154.711424711739,1113.7000367896483,1115.3610632731531,1120.9589188354703,1140.1153564212264,1131.9822716763574,1117.6188668624968,1131.5666535984312,1166.5054246975906,1221.9501289336101,1271.3682213849318,1323.2800293729451,1360.665851296891,1357.4738019667122,1340.9687374884868,1325.859747567695,1321.3380903730233,1333.1515198414722,1350.7549049698603,1386.4584025865956,1412.9594916256501,1454.0848604442867,1475.7329873175224,1499.2621033510604,1473.10989753421,1470.7586842837652,1442.4260182514718,1435.3878607442787,1415.1175112159217,1418.4406016322919,1423.5499020341497,1448.831237876622,1485.8095985933394,1510.650876785543,1509.4357728259915,1494.170365203198,1479.6651329312594,1475.325802282356,1443.266395345462,1442.8881326475926,1438.5278684287036,1464.3847760928554,1456.910546353998,1457.4873152916248,1452.0919979418816,1448.6276397412234,1460.3685961213775,1481.3579014836687,1496.692326748231,1490.0516084615856,1489.5565163086733,1474.4146339206882,1471.3738934276546,1456.0969087090036,1468.1892996141232,1474.0614483787247,1467.7079476784697,1470.5559624291966,1478.0378650241225,1496.3816877264355,1508.2619520519809,1484.2039072900031,1491.474022081274,1484.275201469769,1489.3532511868568,1467.3249999999998
69485,4756,27701,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.069738819869,1182.0449421619512,1218.7484519608608,1186.3567452399266,1175.3023234148243,1179.6807871987962,1186.648198912417,1194.979471036972,1201.9538472141421,1189.6399481559872,1175.614467238535,1174.4519194572815,1213.9606556046965,1238.9066737733629,1251.9512749491835,1255.2128983589364,1259.0332744599116,1266.449688948858,1274.9194170394474,1260.639338691622,1248.9255026068145,1225.9008437754555,1205.9704140874285,1197.4022933148794,1216.1858812082053,1254.3414267519006,1275.1009750185676,1275.297847090679,1273.3520373673855,1262.8142505611747,1263.3319869054426,1268.042222514284,1284.8181956007727,1259.8199085560798,1238.316424862139,1234.6402653563348,1248.6757265306062,1278.1378093207065,1274.8647059431955,1302.76085064239,1318.2526782534107,1371.2183250669384,1402.973451661673,1444.030284363119,1464.4977146682577,1475.571874817032,1468.7342235104672,1480.5760855682106,1497.7843261653002,1515.0384425020568,1520.5364697598159,1559.2637773136998,1596.7350418379058,1627.058853209959,1623.2592027181593,1624.6054869034595,1610.428318829221,1594.6082336281847,1575.9759999931703,1555.4400661409259,1585.1572931028568,1591.6778970794555,1629.6118183846938,1634.134076642805,1659.7692146029938,1671.5452145930665,1671.600853936109,1659.7364110954202,1629.0520844205114,1600.6146826255674,1568.8997655836117,1551.1213981962428,1557.1824931969797,1592.4681578009317,1627.9536770471718,1649.2445443902334,1648.2325610900432,1664.1935494568993,1668.3421771680396,1674.4426603779257,1658.8745954632898,1645.223080108869,1652.343245901741,1653.4056206508083,1656.5522280569128,1646.5234157334623,1646.0162838192591,1649.873682644815,1655.7383201150485,1679.9673754350931,1699.9965147392688,1701.376167419523,1677.3841796102597,1667.7343876394548,1661.7038433551527,1678.2932940319918,1681.4462879168761
69441,9523,27601,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.232572095372,1366.5442075587175,1365.3711578809518,1368.3154954861077,1375.029622286269,1392.2373172853322,1403.4356620921226,1429.2852316182077,1449.6596585516197,1456.316253559728,1452.0326001124504,1461.1681065363362,1463.923297238993,1467.3321305049299,1447.627390512141,1442.8905039000415,1420.896092471721,1402.3238507396975,1398.92054731167,1384.8497799168842,1413.9934223468686,1411.756987602123,1434.4481689891475,1411.6735597877428,1403.4686764407113,1370.1568698205253,1383.3942295832169,1393.171229135369,1459.1406064347086,1498.5761611813998,1583.0801234014573,1606.0873600393988,1659.121191253997,1676.8494645993455,1697.5970006836174,1691.6599989914343,1669.1542850628525,1664.4116822737599,1673.6554193894983,1692.0681772962273,1718.589381810406,1720.590213226924,1740.7045795480005,1709.1394978945316,1706.238078419371,1695.1303858154822,1714.8798276395562,1702.3651529376207,1712.6115285424423,1726.8720141401193,1726.0018559538605,1723.213891738745,1731.3684307483136,1763.809451626662,1766.732461985772,1757.7838731916422,1748.9418789521922,1716.8658309634175,1703.5047497054838,1672.9012734557011,1690.7621746638183,1688.7430479012976,1695.3039450922483,1700.5014794076474,1688.2984783403222,1684.65033595114,1664.8103540309912,1698.7883147034606,1679.7031980894997,1666.3538989684812,1661.654937361709,1671.5899078789466,1670.805191635587,1636.903488034725,1648.4639697519847,1652.1376953932509,1672.849946960692,1691.860762102192,1709.2699919187685,1695.6991413763762,1698.9873253318813,1687.866212515309,1690.0021128093983,1688.4325489447383,1698.7346743295018
69445,12275,27605,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.1132786679766,1193.2705580826848,1220.5563930391882,1218.2176657345333,1237.0870018785638,1246.3571866520356,1251.8211437248233,1254.884693524774,1256.0249729196212,1267.3142643180342,1266.0127426665665,1255.583752812317,1261.215485007435,1271.3074042260469,1297.1146754308359,1287.3655795751793,1277.8495138277428,1268.499497702161,1259.4807301626095,1274.479892212558,1275.931116569094,1284.4691997198747,1276.1730677662802,1266.34512987055,1245.179167144785,1225.018030243513,1236.4958908778096,1252.5687367407331,1292.2015478621502,1317.4773965663758,1370.2653932598964,1422.9568221154989,1455.8497942342492,1467.1252945855076,1493.6674296613612,1498.1903832185142,1517.080805825925,1505.0439757813883,1548.1067686252036,1567.6697977241345,1591.09702732164,1614.401562458984,1639.417182681179,1678.1143532983763,1657.5030092899258,1650.0632830204884,1619.4643332620387,1625.556684699538,1618.4980596642026,1598.6120037858113,1576.2036558061889,1586.4420395959714,1612.004295610582,1628.618114062174,1638.325048986035,1649.9673070795625,1664.400914186027,1642.1999585677634,1625.6545885535008,1627.284728492363,1633.1087667935526,1611.0925749673763,1587.9267642429238,1586.571715103967,1607.075052086357,1607.7649229194012,1594.310384461557,1606.9167564982097,1620.002490820793,1615.5217389987454,1578.1937410136072,1564.6464673689818,1590.3039853883135,1620.7717093068077,1628.1801724313686,1625.8963949788022,1627.1928686164945,1654.3475010621853,1666.8454637715085,1665.7062493417195,1655.0491032368338,1633.7698242585059,1612.9730300780573,1581.9848692342352,1587.3995009534333,1602.6666666666667
