RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
69487,435,27703,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,,,,,,,,,,,,,,178046.89882885324,178281.5974223042,178663.55165143672,179079.65829375674,179987.23712372067,180936.87038521448,182210.2952585511,183213.88622505576,184258.32900510437,185145.4990302856,185689.59243911714,186007.03727997394,185885.47599624746,185976.40837625248,186036.4500783699,186527.45511335842,186638.30509100322,186655.62000529034,186842.6453422923,187218.34324587943,187459.16262485916,187369.08842660705,187093.725090391,186977.74250902596,187045.60802350138,187288.41014162582,187446.40398194268,187570.0583727098,187783.31890089402,188112.68823556099,188375.62592878754,188644.38814728134,189098.4699010041,189450.48564878947,189841.28406322296,190254.22297838144,190953.79159024483,191569.85439820422,191955.6622540266,192246.82595836496,192439.66022675842,192608.63051030622,192741.12514008195,193103.83525005498,193505.33420712268,193878.3625699062,194086.4994571613,194282.67397538558,194516.3269252601,194625.04013227174,194606.14651373352,194483.35348237693,194552.01925805505,194759.61912833792,195117.67909740223,195503.52149090698,196097.78930671606,196629.1030080519,196970.05089336075,197202.4846774414,197414.3806972387,197792.33844359883,198017.5283031678,198470.94879086898,198986.33229385767,199690.50755107004,200142.7344691048,200615.84421295705,200902.68301036014,201245.69117088694,201536.33079163978,201848.87085912106,202304.1173529861,202687.75390717198,203118.43097838634,203448.81745563206,203872.86075262175,204312.6684007911,204899.2405804903,205358.67103746266,205728.3540136634,205705.71655134088,205678.17635364202,205525.33124844707,205381.8436902462,205090.55155745274,204490.01357429195,204050.31718962375,203586.2092638663,203422.9476684359,202464.49378881077,201307.4969180651,199963.5942999212,198827.90415036088,197704.1987723106,196922.39715271114,196526.89523689737,196053.17797411847,194939.96350436425,193736.69780645226,192587.84730237708,191727.21533536704,190666.54122624887,189893.99698274283,189426.83095873284,189245.48030309935,188858.71940672715,188722.8637699122,188860.4452934192,189253.3911836847,189527.2340279742,189406.27999695213,189050.28944844738,188080.7045075917,187037.2748882367,186054.90977763364,185039.31942952107,184070.8588864666,182817.7123291293,181834.88932017493,180848.116082496,179768.08582554504,178446.7118211994,176850.21416522082,175155.72673290517,173347.1518217307,171626.13586913285,169974.2740732597,168277.2101653144,166698.27336864747,164972.09257684546,163426.47141857812,161813.17521632076,160745.61826758264,160162.85245040176,159820.18853057193,159375.9805640185,158749.4783386422,157628.21602003704,156471.5623885759,155031.37200362617,153983.1055591718,153358.79420582848,153037.8625323764,152919.87533207703,153254.37521731597,154315.88183029921,156085.270234442,157930.6171383393,159506.52280337716,160918.45603904696,162046.54596849566,163265.30798291307,164243.95792462528,165273.37767163885,166248.15471157443,167338.04591453797,168422.57734991517,169594.86756306692,170630.4746415791,171440.69623930237,171903.72153707128,172308.23491756132,172449.01651243007,172508.049420591,172842.84480812735,173599.3515862626,174667.58110122985,175805.00033646837,176795.0245753869,177666.4095237987,178302.7808924919,178945.31671179473,179729.42416565886,180789.44165478888,181966.49533580182,183239.30929188806,184350.07666892654,185704.85242798144,186979.99462954735,188352.6073473162,189300.5946893491,190397.12948665707,191436.85607515046,192594.53350015913,193396.24622553427,194391.00410904732,195554.20064804857,197023.77600632305,198333.12530271313,199760.3621939529,200995.82753572115,202459.5466471865,203663.67099173708,204876.5684174487,205663.4641145695,206635.53536831005,207712.36748407278,209184.41682518696,210762.97870890328,212668.4415331754,214443.68925786743,216196.3973549225,217814.46168413167,219521.49447664223,221410.27007336006,223198.80276966645,224956.76882101744,226527.03374315824,228212.86548802827,230044.56311263272,231975.98882451034,233878.27906422818,235724.1600749361,237491.7406677384,238992.17429021056,240200.88182521274,241264.76498644872,242234.9411769869,243201.43415031032,244301.53515934362,245733.9939597761,247585.6292540216,249322.470543706,251170.6830169717,252983.59498398865,254858.50138476086,256431.7489835947,257784.50238440352,259215.52742028344,260529.7345831101,261202.411140186,261463.015635059,262236.6192932881,264225.2391217968,267374.4736032584,271137.963234357,275085.9675494688,278977.6544410366,282690.8652270479,286699.89615586307,291089.5073927057,296160.93522814574,301839.33286350284,308191.9015536257,315203.6649959665,322278.9958376787,329189.4895035508,335834.6087472635,342660.2987622875,349727.13367431215,357528.98341723013,365820.21020196675,375614.1868402524,386191.6019714815,396706.7982361969,405027.2865989993,409325.03973566304,409300.5732926135,406421.41056730173,402832.0296619605,399159.4226940509,395096.39737436036,390968.79250074737,387645.1225297623,385671.75372251775,384940.78197950806,385664.04510099994,387820.7108315969,390583.72624062496,392995.31688934844,394391.29726439266,395386.0101139795,396074.5037045915,396484.3597355054,396723.6376985282,397643.73238871124,399565.29631267814,401556.2790365115,402520.3417388375,402116.004583916,401351.7259762728,400696.54936410947,400378.71414348,399744.001408712,399271.70543239755,398935.81615343643,398824.8733741374,398494.82376532274,397855.1778454862,397072.28583152517,395902.8323883419,393995.0037994235,392006.6824246898,390344.5434259125,389539.3491355236,388895.5947507887,388331.7100019529,387350.8325192994,386222.57310229936
69443,590,27603,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,162813.80693834007,162971.5073904289,163579.00817497738,164400.75538558885,165250.57631883447,165615.54589219266,166021.56595668485,166322.9730842468,166590.40915118335,166710.88438053292,166848.16650818402,167395.667051263,168114.62414974323,168932.3689174664,169751.98167532973,170270.37932905502,170577.9594489904,170489.04901339588,170609.4714764373,170728.88180183212,170746.8450652002,170538.11718285063,170284.3523190655,170383.16050752185,170701.89330659478,171045.60579676504,171651.6348298318,171961.53436313264,172353.3737432198,172314.91309472264,172667.50112010716,172986.09524716836,172985.45633141277,172597.73389539996,172245.40080765678,172396.6003773962,172798.87068689536,173110.30214254485,173392.42464894056,173541.11649326852,173794.95255343305,173894.63039924265,174309.7230204375,174753.58346546142,175112.27945697345,175236.773194958,175309.89164930288,175675.95319210892,176178.2661580053,176830.0869269312,177355.0075752257,177804.45266749477,178005.1878424381,178060.86999174478,178353.57749179672,178652.9460141149,178936.65577127505,178673.49400591094,178471.50798108868,178459.5050152575,178763.1049014808,179304.0732710358,179834.88867563594,180536.5140389706,181334.70591965396,182279.76983785836,183212.2451931647,184281.5639622537,185264.6971567544,186107.79168835666,186688.93531780687,187379.71105579322,188109.17438893323,188953.89577774305,189804.6399183914,190927.5092681412,191998.2094521192,192888.91155900992,193532.6924234058,194304.7113268848,195271.25204633412,196370.66415875894,197233.55194168186,197851.36522732748,198444.794202034,198983.78201298835,199698.10931423327,200411.43794969268,201413.9239220698,202513.93392190748,203659.69250907947,204752.22245063764,205446.27186305952,205995.31273866768,206263.17629877655,206362.98186147635,205915.1152134618,205519.64713082297,204639.1996881836,203992.1673083841,203186.9717220941,202847.4101073542,202651.3238746735,202423.63286693394,202062.9424183882,201499.31742982555,200705.78688765175,199925.4979372409,199017.72487935796,198636.75237713382,198284.4351665964,198041.3766006649,197609.02553530238,197289.11246748012,196956.41542494364,196499.6788869216,196316.48543527373,196334.51239581083,196361.52558059306,196145.56080154187,196135.44849607724,195979.05515877824,195929.18514807514,196113.364300368,196425.39868912756,196341.65598222907,195216.51215388966,193881.68102900436,192543.632405947,191648.95015507936,190880.04865597966,190217.40474059802,189608.11645724706,188977.62421972575,188168.90278313542,186927.48449909734,185647.40472178708,184662.8980389361,184037.9321894629,183320.69177885764,182581.6818909352,181601.63407267575,180822.5271187454,180363.64242107442,180210.71155500747,180332.23953811443,180530.2665237321,181036.2485251824,181575.66937373424,181996.29357338595,182321.00263952857,182457.69884696347,182791.11493481594,183228.88122106818,183877.1738702044,184387.43341401304,184791.89521530477,185196.4185961867,185758.46013888542,186606.96669667555,187618.50455963673,188618.4709663689,189380.08871264508,190101.201220397,190637.00436273575,191312.52423244354,191786.5066008696,192307.2644936818,192850.26414456128,193601.333632475,194575.2162700434,195438.59867075027,196354.7640402237,196994.24928406184,197562.61879426436,197861.1218201391,198302.06109759744,198624.62203054843,199284.31382799867,200002.5572782912,201050.66251221029,202214.1777403398,203397.41886904914,204380.0101492242,205133.3298799852,205834.92509441343,206699.75342205496,207743.0200378069,209001.0383284085,210413.27177639634,212032.8286795323,213612.98146784503,215252.3877903351,216591.05564322372,217833.11981449695,219021.25956448657,220306.76143007376,221675.09302789532,223065.578574708,224560.08228900298,226067.19149075556,227606.28329506775,229265.62433850215,230924.9968306492,232429.65438671003,233692.53423348247,234886.10387065227,236298.60127639805,237584.2081673219,238881.77110273266,240088.56895878422,241354.3720947369,242475.54519096375,243579.78294464064,244741.92012827322,245982.5868192093,247191.6788337242,248437.92486031377,249926.79356200757,251139.78081784444,252283.38439550568,253256.24316686028,254577.5009617704,255870.53175136106,257186.83809211897,258362.2196094943,259638.5161248767,260927.7427126872,262607.35096571274,264457.7261663278,266633.3626104887,268306.21253016684,269565.2863120635,270187.479639817,270882.4167137986,271813.7122243454,272950.4677738952,274280.49930288724,275657.63522400433,277070.0595180351,278572.40915389167,280032.317093805,281582.68879056163,282909.87394720386,283677.5069416599,284199.0872491982,285055.0215438436,286965.7408794589,290044.6387777767,293490.7515883765,296947.8155668562,300178.07739939634,303353.2632602305,307012.6084552041,311063.6607634362,315786.035072209,321483.76516557665,328642.4117674553,336670.0256539353,344800.2829578411,352011.3871535612,358858.79329450894,365174.23446903774,371132.5819846724,377463.17338191456,384733.6905614403,393495.37317620614,402839.876305707,412266.85184009117,420005.4426618687,424577.1494691858,425055.77910014056,422752.3078729816,419850.07172410144,416934.41852007044,414441.418337336,411901.17994992505,409733.43624439096,408425.2339773358,408478.68630499044,410133.1149167334,412621.41033180646,414924.59466786025,416705.1545108571,417707.3775822171,418192.51056578127,418290.5980031786,418183.5945123927,418335.62786810746,419128.5360293119,420901.15009019227,422586.7907323825,423637.8245752652,423694.8407686132,423430.75042978977,422986.5698279142,422575.7896479882,422228.7740208371,422181.80609340896,422526.99964232655,422476.33713696135,421704.5083507391,419865.3218308484,418196.2945869987,416656.79224219057,415426.1649558319,414073.1495772659,412633.7694945607,411405.2527458913,410068.43198688625,408948.0826689019,407881.6520778262,407425.4329230928
69489,1087,27705,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,,,,,,,,,,,,,,174098.77498818323,174120.79899008738,174217.93237501194,174345.83281600793,174605.70397166826,174772.5814795835,175160.51037284362,175680.25419923684,176540.10346113294,177521.26370822362,178440.77053741366,179182.1427049477,179366.08660605285,179761.66045228345,180111.4321380169,180848.75150604625,181232.18245257266,181769.64464081757,182306.01593322752,182930.4291105175,183415.6548933649,184025.2728270324,184735.38418007214,185547.52744400513,186312.115891212,186927.02052790966,187205.00976791047,187240.65415624922,187106.47186383724,187243.43807648742,187472.9536161752,187830.73799709496,188269.68703548817,188777.67767420562,189219.78320703495,189517.9343528728,189845.26563040479,190261.45285893677,190615.8270711092,191027.1918415829,191358.3507061247,191788.18931084967,191925.82575511906,192333.40964222254,192793.52362981834,193618.6219222929,194384.62670987262,195205.13060377035,195953.2039898869,196616.80389186926,197059.24814657588,197547.72042270066,198180.60184525032,199112.15180890728,199980.3728772907,200696.43068768407,201485.39694538573,202346.09283323205,203430.7202932669,204183.7478629055,204677.34857370626,204831.25516100772,204860.00595568234,204807.87363241822,204749.60395233645,204781.65820757582,204909.62390367396,205072.16915734485,205115.71362511194,205115.9539026027,205122.99850155797,205353.56941376717,205816.11655070097,206364.86935864607,206982.66041882386,207826.65953139015,208829.3619526536,210001.48015060843,211127.3817644971,212285.56865656158,213433.94220763663,214262.22258044884,215000.39799600167,215487.48979682484,215945.96613679422,216433.2321592466,216849.41783030904,217056.1120532289,217115.65322500165,216869.00689296113,216315.11146162267,215427.19724738994,214674.32748454157,214029.98255753727,213228.23666384575,212420.04589107857,211720.9579784662,211094.06783244899,210099.16751081645,209463.27137529163,208870.246813972,208694.83478623326,208123.0807934626,207922.09382311898,207746.1865980921,207799.19778588918,207549.22106533035,207604.49156026938,207865.83840532057,208815.53439574,209878.79138947153,210770.15655628615,210829.90578331923,210178.93732404071,209439.4669483812,209157.90017844914,209013.19746037445,209028.37879646473,208876.97754029147,208805.0271534809,208635.97538237763,208153.35291567896,207350.72351473512,206124.27926133908,204983.83505863827,204026.1253587214,202860.8229541484,201597.78511147815,200183.2584131735,199051.61301232188,197990.49956919125,197083.74220386194,196180.30879848017,195420.3535714622,194764.13116114528,194243.1246416831,193726.1544644957,193382.55124580054,193053.6666340502,192891.67454801258,192723.2358380504,192624.97201551846,192629.82061499273,192727.723151462,193344.72663927908,194397.78104355722,195741.3749852964,196996.55859901954,198028.9875038776,198720.19502921452,199498.38116841216,200330.85210345965,201750.62885493503,203296.85503253512,204591.70852772417,205637.96742425815,206395.20692146115,207481.90026159337,208724.05037599395,210339.0492638291,211756.88574158473,212888.47656834827,213641.6653089692,214111.3113491851,214358.06190094724,214663.38930432338,215425.679436419,216674.24436708842,218384.32773481254,220085.31605747226,221577.16441084267,222716.18806273746,223535.21540054554,224255.3109384675,225114.78154853595,226150.73661130387,227439.7144122043,228555.84950742792,229917.96403100004,231334.04529229086,233033.4958035467,234078.48952335204,235272.11029927412,235900.93363139592,237153.94572206298,238202.0793205384,239942.79849586045,241867.37197968233,243976.9649966505,245847.9929651576,247617.96963078473,249101.48025769697,250800.4802744383,252512.63227089026,254564.4049746959,256384.81197041008,257941.1785636309,259022.19904235506,259802.75739957465,260571.7596551408,261633.0268024356,262876.29759100074,264361.82518589107,265866.90428129566,267403.56733379536,269168.18438058626,271172.4577602856,273409.38209151966,275509.5558065387,277331.41427580913,279169.3251311422,280676.5186993808,282079.7563200924,283327.4242207466,284611.0628318134,285520.27089512587,285874.24767976976,286369.54693771974,287226.8279375339,288462.5220332905,289716.73537104303,290891.3989596363,292388.7865800651,293808.3427246209,295660.705458307,297478.42270453717,299257.3484332892,300694.73295120563,302067.08022491867,303794.19619444653,305421.08112409065,306422.132582041,306856.7030687967,307780.2891194806,309984.6867923766,313647.04724118457,318105.9082444315,322898.43753468787,327390.07314128755,331317.43157437275,335600.2581587274,340326.67536800436,346136.6729539801,352893.8544813492,360399.2374004468,367712.5673072751,373003.0876673292,376415.17769596895,379161.0041273684,382885.4862635008,387535.63871212397,394422.28617183,403224.55378013104,414787.3172243042,426819.4860503694,437868.4368475859,446649.74815388705,451107.7155728419,451196.163633524,447964.59422703035,444658.8264454632,441611.78711228026,438641.534888373,435420.2876665318,432743.7120128276,431231.6782377973,431688.6983886261,434550.9950354951,438547.8447840221,442362.56610637833,445322.5754075388,447908.65305882413,450037.90859490976,451880.3797483461,452630.9309742975,452967.27239743463,454132.30790551583,457248.962927869,460600.0786622416,462628.9652758262,462325.75812340813,461469.74306085584,460433.7948781499,459872.38965213345,459407.9707311341,459227.11567164125,459773.42942817725,459989.56589953724,459789.78365791845,459228.7087336024,459303.3970530862,459922.4355356269,459858.5744170237,459617.804554147,459149.6632136889,459368.77072909864,459952.91842545103,460632.0409962453,460975.67497988767,460827.9258417194
69452,2234,27612,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,205170.0231833194,205300.96505908517,205591.10354729858,206412.75951482588,207630.0245127744,208876.93399153676,209966.31270928774,210747.8446272782,211473.39505744097,212453.0777031451,213533.86722586586,214639.47519994303,215340.38873663303,215868.27667948135,216246.7180078219,216527.66170985447,216587.40436319102,216519.97913757432,216421.3061584191,216525.96575751234,216999.12552800207,217648.49722909104,218422.4729949074,218913.76282230648,219026.35543732357,218891.95014151558,219023.81094507384,219380.33134353906,220144.7901198524,220665.92159356675,221231.70445658264,221446.6418767438,221630.21358426206,222043.96468072277,222770.88577023102,223679.27277696508,224204.5670243041,224183.13344688652,223791.08720085805,223505.5439676864,223691.43505019593,224290.28146212723,225007.17544196945,225611.64178025132,226293.89543894993,227110.84418870634,227927.74019222194,228456.15777025555,228767.41230565027,229085.55522775688,229305.07023434096,229620.6416886351,229998.3658527132,230652.31880865336,231630.28330911938,232380.35483241224,233201.24587042528,233701.5627954124,234631.15848041882,235479.96896965918,236365.11987472165,237230.40849912414,238020.76818687838,238896.38264645287,239653.67081008162,240690.63128199053,241573.73783741845,242902.79737604837,244370.79917582023,246145.68667025157,247625.4458060592,249058.440083522,250083.36387183063,251013.66245553407,252005.93933613086,253580.1760876264,255325.72883204857,257036.39316197907,258773.58938670636,260622.75025593187,262431.4964190011,264338.2127767528,265886.1440974248,267294.8168635298,268481.7469107169,269667.19550121896,271199.17421475047,272740.1065135673,274665.4206975201,276650.05900371977,278511.67796865216,280126.6814589228,281179.91000868374,281959.6168825792,282472.7602213961,282762.0496018474,282687.0609336064,282631.2327155999,281746.90299087873,280895.0183537781,279910.982936954,279736.8888636013,279707.0866883054,279414.3028855083,278731.7240936569,277833.50667365576,276879.0241980671,276020.62228338583,275024.00977381744,274646.18348839803,274623.8757507689,274610.83392785274,274094.3629935726,273086.51539954956,272105.0889497052,271046.74417472025,270343.7352107461,269825.3845948755,269228.75371245935,268654.7202699905,268454.4563757133,268222.72790787957,268195.21726828004,268653.14887634455,269306.48383902706,269168.6823832618,267609.8191614521,265787.4946111366,264041.00665357587,262710.43175165396,261624.17741277933,260785.52282936827,259974.8553397858,259094.58518811522,258211.19316343803,257141.17461883207,256044.8313788917,255335.5913288455,254787.10745603475,254013.2074761585,253173.95041768017,252213.71949031495,251499.28610235188,250956.76252091269,250420.67908931404,250271.75154156625,249996.096753779,250322.35460281023,250614.02410065653,251136.9051675396,251470.87142602293,251895.56960021157,252501.2402030157,253253.08759313074,254171.19544711584,254944.4967273376,256029.46354250776,256925.39586587925,257812.0311322641,258578.66123215668,259797.75383660395,261220.5656288299,262753.5373766061,264182.8572727717,265575.2247468507,266987.26421234827,268002.34687085217,268923.25738487946,269795.40893374896,271309.69038473535,273166.5761210054,275016.2334888075,276605.9196855256,277799.6064652071,279048.0731862948,280117.84568901104,281296.84170173324,281973.23155237944,282897.98788391054,283828.23137096927,285120.1367265548,286584.8055016792,288061.70555614046,289181.5492548374,289920.6527840454,290561.18557438016,291701.10631371435,293311.90784305014,295298.93748949305,297439.8542327654,299654.6051252796,301667.21601516905,303474.4276444423,304674.69101301854,305466.7952284902,306154.66925060615,307035.36421057297,308218.2224057243,309446.73679439904,310754.9947339254,312175.3055850938,313752.03685900377,315579.4386853113,317310.99863833515,318889.6830868441,320556.63294588955,322335.49240325735,324319.1622399346,325825.0439948219,327108.4722756471,328399.6778796132,329550.3387286796,330533.36618478736,331315.1536885263,332365.7795751786,333836.91103092366,335560.11432830786,337238.93211740075,338823.47925119614,339907.6018237657,340998.6678936069,341791.1250441101,343077.04542977014,344310.7717948901,345922.42900108127,347548.23247619317,349388.00358256995,351102.02796720614,352746.5247195351,354389.1492737797,356320.7064992629,357932.5346833057,359021.27591761696,359496.65086955595,359772.45382668875,359861.3744069615,360024.7482706776,360649.87538115657,361721.5294503512,362925.7978742588,364293.3081569161,365815.6028810809,367751.80618632166,369699.88901494927,371137.21022258606,371986.00405005994,372933.3158269163,375142.5176152247,379063.3510926969,383493.8289011661,388041.83097780374,392262.12555243005,396703.03971237317,401895.3856511844,407368.19400560646,413258.14877384907,419294.6469628745,426572.10294992564,434406.37227164116,442044.48682751553,448627.2237545412,454772.43005928746,461202.87125076866,467297.6944400999,474805.4819245367,483751.73861316795,496106.79540448124,509479.35896235,523065.86667172005,532826.1268509777,537201.5148672629,535811.6329285866,530940.0213026939,526151.3750948727,521959.91478893324,518849.7470276135,515654.58382165554,513428.06099803816,513567.39812640334,516862.95881728665,522128.31537396315,528229.8047174462,533077.8000414303,536957.1620302581,539464.4632587917,541313.7914290074,542795.3664464392,543487.5460057688,544308.7027788976,546283.799169421,550712.9608260515,555457.9810594846,558503.7090059621,558687.2996347267,557677.7258331868,556432.9142890227,555547.1489531413,555521.8035958451,555927.2192671405,556651.8676462807,556496.6090528389,555854.2835271865,554716.6481982195,553831.6475436691,552798.370076237,551697.5962434632,550583.7574626695,550146.1884522992,550813.3711148592,552439.177925934,554326.6797867088,556042.5316083586,557490.361869584
